,vendor_name,img,name,carbohydrates,fats,proteins,calories
0,4105906,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/2d/80/9aa5abe83343f00f808399f1876e.jpg,"Пельмени с курицей Зелёная Линия, 500г",26.0,13.0,8.0,253.0
1,4105907,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/ee/3c/71aed259ba9db20f44a82d018bf0.jpg,"Пельмени с индейкой Зелёная Линия, 800г",26.0,11.0,9.0,239.0
2,3641577,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/af/d6/dda8ffbe58798abca5e5334e9724.jpg,"Вареники с вишней замороженные Маркет Перекрёсток, 450г",40.3,0.7,4.2,184.3
3,3641576,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/85/5a/925dbda4dd7e25e2d2cxd859ed9d.jpg,"Вареники с творогом замороженные Маркет Перекрёсток, 450г",35.0,4.7,10.2,223.1
4,4105908,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/98/a8/8a2db8ab39ea5a533f220709b284.jpg,"Пельмени с говядиной и свининой Зелёная Линия, 800г",22.0,16.0,9.0,268.0
5,3678824,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/a1/c1/161de5cdc57e0edcbf15d5c87d22.jpg,"Креветки королевские 50/70 варёно-мороженые Новый Океан, 850г",3.0,1.0,19.0,100.0
6,3641261,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/e6/a5/b287a62a94825fb7226c6be987ec.jpg,"Морепродукты ассорти замороженные Новый Океан, 460г",1.6,1.4,8.6,53.6
7,3647723,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/32/9d/2fbfab7da12ecfe1747e304a4938.jpg,Креветки 120/150 варёно-мороженые неочищенные,0.2,0.3,24.0,99.0
8,69215,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/99/4d/9ba58763b228cf7b30cf13b70a50.jpg,Креветки королевские 50/70 замороженные,0.0,0.4,22.1,92.0
9,2094589,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/fd/12/9de660ce7fe7f3b0fcf7a7797090.jpg,Креветки тигровые свежемороженые без головы,1.8,2.2,18.9,95.4
10,4269452,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/3d/17/2231918bb62ed33dd62b243a034f.jpg,"Морепродукты Agama Паэлья с морепродуктами рисом и овощами, 320г",12.8,2.2,6.8,100.0
11,4269451,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/c3/51/eb41da31b3665ffa2fe96d8dc96d.jpg,"Минтай Agama Белая Рыба в грибном соусе с рисом и шпинатом, 320г",11.9,0.5,3.8,70.0
